SID,Individual,Date,Treatment,Dung_age,Qubit_DNA,Well
GF_71W0,Ivan,2019-07-24,Pre,<3 hrs,14.8,A1
GF_71W2,Ivan,2019-08-15,Pre,3-13 hrs,50,A2
GF_71W3,Ivan,2019-08-21,Pre,1day,53,A3
GF_71W4,Ivan,2019-08-03,Pre,,47,A4
Ivan_Nov11,Ivan,2019-11-11,Post,<3 hrs,,A5
Ivan_May72020,Ivan,2020-05-07,Post,<3 hrs,,A6
GF_97w6,Buhle,2019-07-30,Pre,3-13 hrs,33.8,A7
GF_97w7,Buhle,2019-08-07,Pre,3-13 hrs,42.1,A8
GF_97w9,Buhle,2019-08-19,Pre,3-13 hrs,34.7,A9
GF_97w10,Buhle,2019-08-27,Pre,3-13 hrs,28.7,A10
GF_97w11,Buhle,2019-09-02,Pre,<3 hrs,39.3,A11
Buhle_Nov9,Buhle,2019-11-09,Post,,,A12
Buhle_Oct30,Buhle,2019-10-30,Post,,,B1
Buhle_Oct26,Buhle,2019-10-26,Post,,,B2
Buhle_Oct20,Buhle,2019-10-20,Post,,,B3
GF_122w2,Otto,2019-07-03,Pre,<3 hrs,29.4,B4
GF_122w4,Otto,2019-07-16,Pre,3-13 hrs,17.8,B5
GF_122w5,Otto,2019-07-23,Pre,3-13 hrs,45.2,B6
GF_122w7,Otto,2019-08-09,Pre,2+ days,47.1,B7
GF_122w8,Otto,2019-08-13,Pre,3-13 hrs,45,B8
GF_122w9,Otto,2019-08-23,Pre,3-13 hrs,19,B9
GF_122w10,Otto,2019-08-27,Pre,3-13 hrs,8.62,B10
GF_122w11,Otto,2019-09-03,Pre,3-13 hrs,43.5,B12
Otto_Oct30,Otto,2019-10-30,Post,,,C1
Otto_Oct26,Otto,2019-10-26,Post,,,C2
Otto_Oct20,Otto,2019-10-20,Post,,,C3
GF_129w2,Ode,2019-07-04,Pre,3-13 hrs,36.8,C4
GF_129w5,Ode,2019-07-22,Pre,,31.6,C5
GF_129w9,Ode,2019-08-21,Pre,3-13 hrs,18.6,C6
GF_129w11,Ode,2019-09-03,Pre,1day,34.1,C7
Ode_Nov9,Ode,2019-11-09,Post,,,C8
Ode_Oct30,Ode,2019-10-30,Post,,,C9
Ode_Nov4,Ode,2019-11-04,Post,,,C10
Ode_Oct26,Ode,2019-10-26,Post,,,C11
Ode_Mar252020,Ode,2020-03-25,Post,<3 hrs,,C12
Ode_Oct20,Ode,2019-10-20,Post,,,D1
GF_42w9,Eddie,2019-08-20,Pre,3-13 hrs,14.2,D2
GF_42w2,Eddie,2019-07-04,Pre,3-13 hrs,9.1,D3
GF_42w3,Eddie,2019-07-08,Pre,,32,D4
GF_42w5,Eddie,2019-07-22,Pre,,23.3,D5
GF_42w8,Eddie,2019-08-16,Pre,3-13 hrs,20.6,D6
GF_42w10,Eddie,2019-08-26,Pre,3-13 hrs,20,D7
GF_42w11,Eddie,2019-09-03,Pre,3-13 hrs,19.9,D8
Eddie_Nov14,Eddie,2019-11-14,Post,<3 hrs,,D9
Eddie_July142020,Eddie,2020-07-14,Post,3-13 hrs,,D10
GF_61w2,Helaria,2019-07-01,Pre,<3 hrs,12.5,D11
GF_61w5,Helaria,2019-07-23,Pre,1day,1.8,D12
GF_61w6,Helaria,2019-08-02,Pre,3-13 hrs,12.5,E1
GF_61w7,Helaria,2019-08-09,Pre,2+ days,40.2,E2
GF_61w8,Helaria,2019-08-15,Pre,3-13 hrs,54,E3
GF_61w9,Helaria,2019-08-23,Pre,<3 hrs,37.1,E3
GF_61w10,Helaria,2019-08-27,Pre,3-13 hrs,32.6,E4
GF_61w11,Helaria,2019-09-03,Pre,3-13 hrs,14.8,E5
Heleria_Dec2,Helaria,2019-12-02,Post,3-13 hrs,,E6
Heleria_Nov9,Helaria,2019-11-09,Post,,,E7
Heleria_Oct26,Helaria,2019-10-26,Post,,,E8
Heleria_Oct30,Helaria,2019-10-30,Post,,,E9
Heleria_Nov4,Helaria,2019-11-04,Post,,,E10
Heleria_Oct20,Helaria,2019-10-20,Post,,,E11
GF_70w2,Kagiso,2019-07-04,Pre,3-13 hrs,46.4,E12
GF_70w3,Kagiso,2019-07-08,Pre,,46.1,F1
GF_70w6,Kagiso,2019-07-30,Pre,3-13 hrs,37.5,F2
GF_70w7,Kagiso,2019-08-09,Pre,<3 hrs,51,F3
GF_70w11,Kagiso,2019-09-03,Pre,1day,20.6,F4
Kagiso_Oct30,Kagiso,2019-10-30,Post,,,F5
Kagiso_Oct26,Kagiso,2019-10-26,Post,,,F6
Kagiso_Nov4,Kagiso,2019-11-04,Post,,,F7
Kagiso_Nov9,Kagiso,2019-11-09,Post,,,F8
Kagiso_Oct20,Kagiso,2019-10-20,Post,,,F9
Kagiso/Ode_June2,Ode,2020-06-02,Post,<3 hrs,,F10
GF_74w0,Victory,2019-07-24,Pre,<3 hrs,57,F11
GF_74w1,Victory,2019-08-12,Pre,3-13 hrs,26.8,F12
GF_74w2,Victory,2019-08-15,Pre,3-13 hrs,43.2,G1
GF_74w3,Victory,2019-08-24,Pre,3-13 hrs,25.4,G2
Victory_July72020,Victory,2020-07-07,Post,3-13 hrs,,G3
Victory_Nov15,Victory,2019-11-15,Post,<3 hrs,,G4
GF_95w1,Lindiwe,2019-06-26,Pre,3-13 hrs,7.21,G5
GF_95w2,Lindiwe,2019-07-03,Pre,3-13 hrs,5.27,G6
GF_95w4,Lindiwe,2019-07-16,Pre,3-13 hrs,14.9,G7
GF_95w5,Lindiwe,2019-07-23,Pre,1day,15.3,G8
GF_95w6,Lindiwe,2019-07-31,Pre,3-13 hrs,23.4,G9
GF_95w7,Lindiwe,2019-08-07,Pre,3-13 hrs,15.1,G10
GF_95w8,Lindiwe,2019-08-13,Pre,3-13 hrs,18.9,G11
GF_95w9,Lindiwe,2019-08-19,Pre,3-13 hrs,22.8,G12
GF_95w10,Lindiwe,2019-08-27,Pre,3-13 hrs,21.3,H1
GF_95w11,Lindiwe,2019-09-02,Pre,<3 hrs,12,H2
Lindiwe_Feb172020,Lindiwe,2020-02-17,Post,<3 hrs,,H3
Lindiwe_Nov9,Lindiwe,2019-11-09,Post,,,H4
Lindiwe_Oct30,Lindiwe,2019-10-30,Post,,,H5
Lindiwe_Nov4,Lindiwe,2019-11-04,Post,,,H6
Lindiwe_June182020,Lindiwe,2020-06-18,Post,3-13 hrs,,H7
GF_97w1,Buhle,2019-06-26,Pre,<3 hrs,35.8,H8
GF_97w2,Buhle,2019-07-03,Pre,3-13 hrs,21.3,H9
GF_97w4,Buhle,2019-07-16,Pre,3-13 hrs,16.2,H10
GF_97w5,Buhle,2019-07-23,Pre,3-13 hrs,40.5,H11
